Comment,Designator,Footprint,LCSC
1n,C8,C_0603_1608Metric,C100040
10p,C21,C_0603_1608Metric,C106245
1u,"C11,C23,C24",C_0603_1608Metric,C106858
470k,"R35,R41",R_0603_1608Metric,C114622
33R ,"R14,R18",R_0603_1608Metric,C13320
3k,"R1,R11,R13,R16,R26,R30",R_0603_1608Metric,C137732
OPA188xxDBV,"U1,U3",TSOT-23-5,C140312
100k,"R17,R19,R20,R21,R22,R23,R24,R25,R5",R_0603_1608Metric,C14675
0.1u,"C10,C14,C15,C16,C17,C18,C2,C20,C22,C3,C31,C32,C39,C4,C47,C6,C7,C9",C_0603_1608Metric,C1591
10p,C12,C_0603_1608Metric,C1634
Ferrite_Bead,FB1,C_1206_3216Metric,C16902
24AA025UID,U6,SOIC-8_3.9x4.9mm_P1.27mm,C194184
OPA1641,U5,SOIC-8_3.9x4.9mm_P1.27mm,C2057597
0R,"R12,R71",R_0603_1608Metric,C21189
348k,"R34,R40",R_0603_1608Metric,C227488
226k,"R33,R39",R_0603_1608Metric,C227714
30k,"R15,R2",R_0603_1608Metric,C22984
604k,"R36,R42",R_0603_1608Metric,C245986
1R,R66,R_0603_1608Metric,C25212
Conn_Coaxial,J5,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,C2837587
LP2981A-33DBVT,U9,SOT-23-5,C2872227
Conn_Coaxial,J1,BU-SMA-G,C2874827
HDMI_A,J4,CONN_10029449-111RLF_HDMI_A,C427307
MCP4017T-103E_LT,U4,SOT-363,C478095
4.7u,C5,C_0603_1608Metric,C69335
49.9k,"R10,R6",R_0603_1608Metric,C705780
4.99k,"R29,R9",R_0603_1608Metric,C723532
49.9R,R31,R_0603_1608Metric,C859049
10k,"R27,R28,R3",R_0603_1608Metric,C95204
DNI,R8,R_0603_1608Metric,
DNI,R4,R_0603_1608Metric,
DNI,H3,MountingHole_2.2mm_M2_Pad,
DNI,H7,MountingHole_2.2mm_M2,
DNI,J2,PinHeader_1x04_P2.54mm_Horizontal,
TCA9555DBR,U2,SSOP-24_5.3x8.2mm_P0.65mm,
DNI,C1,C_0603_1608Metric,
RCT-0C,"TP1,TP2",Test_Point_D1.02mm,
DNI,C19,C_0603_1608Metric,
DAC101C081CIMK_NOPB,IC1,TSOT-23-6,
DNI,TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,
DNI,H1,MountingHole_2.2mm_M2,
10k pot,RV1,TRIM_3269W-1-103GLF,
DNI,C13,C_0603_1608Metric,
DNI,H2,MountingHole_2.2mm_M2,
ADA4000-2ARZ-R7,U7,R_8_ADI,
TMUX6111PWR,U10,PW0016A_N,
DNI,R32,R_0603_1608Metric,
DNI,R38,R_0603_1608Metric,
TMUX6111PWR,U8,PW0016A_N,
REF3440TIDBVR,U11,REF3440,
